,Value
0,0.24224137931034437
1,0.2891990291262129
2,0.27943005181347125
3,0.2673233936812231
4,0.27062937062937015
5,0.1944945141065777
6,0.22405031446541032
7,0.26017167763743304
8,0.2751444851444844
9,0.1594497041420125
10,0.34126984126984133
11,0.27702702702702714
12,0.20039583333333294
13,0.19571805006587575
14,0.20442201518288453
15,0.2529255319148935
16,0.2785600000000001
17,0.12060606060606062
18,0.18913934426229478
19,0.3517543859649124
20,0.2823863636363629
21,0.3008791208791204
22,0.19357168394708768
23,0.2811018711018706
24,0.29773755656108575
25,0.27145800316957214
26,0.3230476190476191
27,0.22090973312401951
28,0.1956668105308589
29,0.2554513888888886
30,0.2256719893546257
31,0.19440038684719646
32,0.37335164835164725
33,0.34983606557377045
34,0.3277777777777779
35,0.25370581527936137
36,0.31839826839826796
37,0.2774319066147856
38,0.2238184747583243
39,0.33352017937219913
40,0.20433070866141695
41,0.25128373930217446
42,0.3130514705882348
43,0.2829268292682928
44,0.32941176470588246
45,0.14079638398622524
46,0.33096774193548406
47,0.19338677354709383
48,0.22623070325900688
49,0.23510638297872338
50,0.30550000000000005
51,0.3045454545454547
52,0.1984299516908224
53,0.3320000000000002
54,0.2455524079320109
55,0.1766565349544071
56,0.2645031055900619
57,0.21667870036101075
58,0.27852112676056545
59,0.20743842364531992
60,0.1650764748725419
61,0.25053092182030473
62,0.2401518438177871
63,0.2394994311717864
64,0.23238596491228022
65,0.22369342521885055
66,0.25676841676841633
67,0.2529186935371803
68,0.36941760138048724
69,0.1814155490219763
70,0.16571468926553654
71,0.23608247422680423
72,0.23218433179723466
73,0.2546875000000001
74,0.15316361556063843
75,0.2587719298245615
76,0.24829875518672187
77,0.1897763390229555
78,0.25313021891221077
79,0.28390804597701164
80,0.1727272727272727
81,0.3066859344894023
82,0.2051595159515953
83,0.21940635170013886
84,0.20292368681863227
85,0.18709274183329563
86,0.19543952533090034
87,0.3656908665105376
88,0.21271813073054835
89,0.20118755384917134
90,0.16445685279187452
91,0.2774489795918365
92,0.1648372093023254
93,0.16533479692645422
94,0.15061185468451227
95,0.3166666666666667
96,0.2580808080808082
97,0.2170538243626059
98,0.2660648148148147
99,0.22506072874493913
100,0.22665486725663894
101,0.2486111111111112
102,0.23810572687224651
103,0.24394805194805147
104,0.34277108433734954
105,0.2509811896288762
106,0.23021739130434787
107,0.228590308370044
108,0.1873154139704643
109,0.23377705627705642
110,0.18655462184873953
111,0.25903954802259843
112,0.10900289855072481
113,0.2959923664122132
114,0.219179673321235
115,0.24785431773236694
116,0.23774752475247485
117,0.19657794676806087
118,0.20024832886972932
119,0.15648920863309157
120,0.22906389301634528
121,0.18296422487223163
122,0.2523890784982932
123,0.16288271314178077
124,0.22788359788359788
125,0.1986404833836857
126,0.363222673893393
127,0.337181183388461
128,0.3916081986598362
129,0.37310429289672714
130,0.19830827067669166
131,0.35657814871017024
132,0.11251560549313375
133,0.29946269982238144
134,0.14899015737085108
135,0.22383311603650577
136,0.21589595375722548
137,0.27625
138,0.18270622286541213
139,0.2238704425464557
140,0.22998439937597484
141,0.22878787878787876
142,0.18861895959862246
143,0.24807923169267698
144,0.23116975361573286
145,0.10692419825072881
146,0.20191183294663684
147,0.22296296296296306
148,0.2392821782178214
149,0.20800895968143324
150,0.2595016611295678
151,0.15570300402601503
152,0.2015675675675673
153,0.16088435374149662
154,0.27253787878787866
155,0.24601480152500582
156,0.271296367112803
157,0.28964388047482537
158,0.18981311274509935
159,0.3167763157894736
160,0.22053140096618354
161,0.2313278008298753
162,0.3083116883116883
163,0.29322033898305083
164,0.11888808784383355
165,0.25522388059701484
166,0.21017110266159658
167,0.1896280291476021
168,0.2459946236559153
169,0.3412433392539963
170,0.21960891590678588
171,0.3375
172,0.18529411764705883
173,0.1282930756843799
174,0.2070464767616188
175,0.18652816901408498
176,0.2803454231433503
177,0.09313432835820892
178,0.18289473684210528
179,0.1649221237316483
180,0.2328571428571443
181,0.38047945205479444
182,0.24255319148936116
183,0.3076923076923076
184,0.21725806451612883
185,0.2544531249999999
186,0.3517630853994482
187,0.2893364928909946
188,0.2317689412534729
189,0.2637134336836133
190,0.20026523200941634
191,0.19107241063244873
192,0.24889724310776942
193,0.1842894393741849
194,0.21077134683097898
195,0.20768956289027493
196,0.20633045476581613
197,0.2513508557457231
198,0.1857385261797037
199,0.20534759358288765
200,0.42295081967213133
201,0.22194364094429544
202,0.2681329305135974
203,0.15023355971508937
204,0.20385638297872288
205,0.1677342710511299
206,0.20703030303030276
207,0.21077922077922062
208,0.34027777777777785
209,0.26471801925722144
210,0.3071428571428571
211,0.22887727963525845
212,0.211678004535147
213,0.26100478468899513
214,0.2931457791397859
215,0.2191919191919193
216,0.28200000000000003
217,0.23260536398467416
218,0.3063921859544934
219,0.2691525423728814
220,0.2573770491803279
221,0.21106924643584526
222,0.23323863636363643
223,0.22876506024096352
224,0.18871669004207348
225,0.15231536926147682
226,0.23072954230235743
227,0.23529411764705885
228,0.19617789656887408
229,0.37032040472175326
230,0.31115384615384567
231,0.2527103718199613
232,0.21467889908256885
233,0.1946253229974158
234,0.16842105263157892
235,0.19484374999999973
236,0.25753474762253253
237,0.1480968858131487
238,0.2989781021897807
239,0.25456081081081033
240,0.24216242155776496
241,0.24544191919192032
242,0.12351778656126486
243,0.22520108561559335
244,0.24167300380228107
245,0.5
246,0.2486486486486487
247,0.26012499999999983
248,0.1558528951486697
249,0.16425636811832367
250,0.2422480196667574
251,0.15776264591439695
252,0.2733263598326354
253,0.24590570719603114
254,0.19999999999999998
255,0.1792993630573249
256,0.1837837837837837
257,0.2896551724137931
258,0.1429619646600782
259,0.23418201516793055
260,0.25647412289203436
261,0.26698884758364283
262,0.12702669303015235
263,0.3373786407766992
264,0.24446492575524836
265,0.2527624309392265
266,0.23322368421052628
267,0.24838709677419352
268,0.20175126903553336
269,0.30833333333333285
270,0.1442769857433808
271,0.24819672131147485
272,0.21552495697073987
273,0.2513167259786474
274,0.19639175257731956
275,0.2237179487179488
276,0.24702912621359185
277,0.2818181818181819
278,0.2790209790209784
279,0.21822222222222187
280,0.22186851789896275
281,0.33699148533585876
282,0.20687888198757745
283,0.23922574094052684
284,0.17955832389580956
285,0.15572783584978686
286,0.14713216957605957
287,0.18758620689655175
288,0.18728205128205125
289,0.23924924924924887
290,0.18410973084886273
291,0.22404580152671721
292,0.17502367242481992
293,0.23748345894942915
